date_key,app_id,channel,download_num,landing_page_view_num,landing_page_click_num,ip_num,new_user,new_user_ios,new_user_android,pay_user_num,recharge_amount,coin_recharge_amount,install_num,ad_click_num,video_show_from_channel
2026-09-02 09:00:00,SF-63,BYQQGO7CWB,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 23:00:00,HX-022,AFZ001,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 14:00:00,HX-003,653635,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,14
2026-09-02 14:00:00,JHG-059,xxkd13,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 22:00:00,HX-001,2380827967,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,8
2026-09-02 08:00:00,HX-024,bzmhjd001_1.6.151.02,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,13
2026-09-02 02:00:00,YC-114,913b5qu0v,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 17:00:00,JHA-066,Ickl3UCV,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,1
2026-09-02 14:00:00,HX-021,guoman18,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,3
2026-09-02 08:00:00,JHA-017,ZRJA128,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,10
2026-09-02 08:00:00,JHA-027,ZRJA128,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,4
2026-09-02 08:00:00,SF-43,P1UQULMH0Z,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 12:00:00,SF-62,B2W0IR1KAE,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 12:00:00,YC-002,zjdy5650,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 23:00:00,JHA-204,8N3JMA,0,0,0,0,0,0,0,0,0.000000,0.000000,0,1,0
2026-09-02 09:00:00,HX-010,hhgzsbr001_1.6.151.0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,4
2026-09-02 23:00:00,YC-002,zjdy5465,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 08:00:00,HX-001,phdao002_1.6.151.020,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,14
2026-09-02 23:00:00,YC-123,ongm1mh,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 08:00:00,DX-091,ug-nx188,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,13
2026-09-02 08:00:00,SF-65,A71N74N6LO,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 23:00:00,HX-004,dypkf001,0,0,0,0,0,0,0,0,0.000000,0.000000,0,1,70
2026-09-02 23:00:00,JHG-006,beningn,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 23:00:00,TRFB-009,GqV62PVT,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 12:00:00,YC-164,jhyhmh1366,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 08:00:00,HX-017,dpdgmi001_1.6.151.02,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,2
2026-09-02 23:00:00,HX-013,18Rpm001,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 11:00:00,DX-037,ug-hgqks2,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 11:00:00,JHG-052,oxiahpnm,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 12:00:00,YC-159,zgovfxoj,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
