app_id,shadow_cnt,live_cnt,diff
JHA-060,89,92,-3
JHA-065,11,8,3
JHA-203,22,25,-3
JHG-087,7,4,3
SF-153,21,18,3
SF-67,358,355,3
DX-033,79,81,-2
DX-097,38,40,-2
DX-126,158,160,-2
HX-011,31,33,-2
HX-025,7,9,-2
HX-050,7,9,-2
JHA-096,17,15,2
JHA-202,24,26,-2
JHA-502,369,371,-2
JHG-018,17,19,-2
JHG-041,40,42,-2
JHG-056,8,6,2
JHGXN-112,2,0,2
JLYQXN-002,23,25,-2
SC-01,2,0,2
SEO-002,13,15,-2
SEO-003,12,14,-2
SEO-006,10,8,2
SEO-011,4,2,2
SF-10,40,38,2
SF-145,11,13,-2
SF-161,18,16,2
SF-45,53,51,2
SF-73,13,11,2
TRFB-008,131,129,2
TSPX-028,35,37,-2
TSPX-029,4,6,-2
TSYH-051,28,30,-2
YC-141,83,81,2
YC-156,21,23,-2
YCXN-001,15,17,-2
YDWD-001,233,231,2
111,1,0,1
BF-004,0,1,-1
DFA-02,1,2,-1
DFB-01,33,32,1
DX-010,62,61,1
DX-011,17,18,-1
DX-035,1,2,-1
DX-041,2,3,-1
DX-060,13,14,-1
DX-086,40,41,-1
DX-087,78,79,-1
DX-096,6,7,-1
DX-151,8,9,-1
HX-019,27,28,-1
HX-031,3,2,1
HX-043,4,5,-1
JHA-071,39,40,-1
JHA-1003,0,1,-1
JHA-1005,0,1,-1
JHA-1014,1,2,-1
JHA-1015,0,1,-1
JHA-1023,0,1,-1
JHA-128,395,394,1
JHA-161,7,6,1
JHA-206,17,18,-1
JHG-010,38,37,1
JHG-017,148,147,1
JHG-051,26,25,1
JHG-080,137,136,1
JHGXN-115,2,1,1
JLYQ-002,24,25,-1
SC-04,4,3,1
SC-10,1,0,1
SC-19,1,0,1
SEO-004,9,8,1
SEO-010,5,4,1
SEO-012,4,5,-1
SEO-017,5,6,-1
SEO-020,3,4,-1
SF-121,2,1,1
SF-146,7,6,1
SF-149,14,15,-1
SF-167,2,1,1
SF-171,6,7,-1
SF-179,4,5,-1
SF-77,12,11,1
SF-91,220,219,1
TJ-006,2,1,1
TJ-008,2,1,1
TJ-042,8,9,-1
TJ-043,28,29,-1
TJ-063,21,20,1
TJ-094,2,1,1
TRFB-010,16,17,-1
TRFB-012,0,1,-1
TSPX-005,50,49,1
TSPX-035,15,16,-1
TSYH-002,3,4,-1
TSYH-004,16,17,-1
WYYL-002,14,13,1
WYYL-102,1,0,1
WYYL-301,1,2,-1
BASE-001,6,6,0
BF-005,61,61,0
DF-05,1,1,0
DFA-01,6,6,0
DFA-04,2,2,0
DFA-05,1,1,0
DFA-06,1,1,0
DFA-07,1,1,0
DFA-08,2,2,0
DFA-11,1,1,0
DFWX-31,1,1,0
DX-005,5,5,0
DX-012,2,2,0
DX-013,14,14,0
DX-014,1,1,0
DX-016,1,1,0
DX-017,1,1,0
DX-018,1,1,0
DX-019,1,1,0
DX-020,1,1,0
