app_id,shadow_cnt,live_cnt,diff
DX-033,504,533,-29
JHG-080,2349,2321,28
SEO-006,108,80,28
YC-152,1573,1601,-28
HX-020,129,156,-27
SF-145,134,161,-27
DX-125,2142,2166,-24
JHA-1003,0,24,-24
JHA-1005,0,24,-24
JHA-1015,0,24,-24
JHG-010,117,141,-24
SEO-005,99,75,24
HX-030,95,118,-23
JHA-1001,2,24,-22
JHG-007,148,126,22
JHG-091,687,708,-21
SF-189,98,119,-21
WYYL-002,176,155,21
JHG-003,153,133,20
SF-24,171,191,-20
HX-012,50,69,-19
JHA-066,1033,1052,-19
JHGXN-115,43,24,19
SF-06,261,280,-19
SF-07,491,472,19
HX-039,75,93,-18
HX-060,1431,1449,-18
JHA-058,748,766,-18
SC-04,55,37,18
HX-029,63,80,-17
SEO-002,166,149,17
WYYL-102,17,0,17
DX-053,121,136,-15
DX-106,542,557,-15
HX-005,233,248,-15
JHA-502,2088,2103,-15
JHG-013,4404,4389,15
SEO-013,80,65,15
SF-165,105,90,15
YCXN-001,246,261,-15
JHA-055,70,56,14
SF-85,157,143,14
HX-011,153,166,-13
HX-025,27,40,-13
DX-004,730,742,-12
HX-059,1963,1975,-12
JHA-096,74,62,12
SEO-003,156,144,12
TSPX-014,191,203,-12
HX-056,272,261,11
HX-057,761,772,-11
JHG-048,110,99,11
JHG-057,91,80,11
JLYQXN-002,178,189,-11
TRFB-010,115,126,-11
TSPX-027,354,365,-11
YC-172,730,719,11
DX-003,3262,3252,10
HX-038,64,74,-10
HX-042,30,40,-10
SF-157,312,322,-10
SF-77,59,69,-10
TSPX-035,225,215,10
YC-156,124,134,-10
HX-028,89,98,-9
JHA-1025,15,24,-9
JHA-1027,2,11,-9
SEO-012,59,50,9
SF-153,121,130,-9
SF-73,38,47,-9
SF-84,582,591,-9
TJ-029,15,24,-9
DX-096,29,37,-8
HX-065,48,40,8
JHA-071,100,108,-8
JHA-203,80,88,-8
TJ-042,71,79,-8
HX-019,57,64,-7
JHA-065,70,63,7
JHA-206,63,70,-7
JHG-056,92,85,7
JHG-069,326,319,7
SC-03,52,45,7
SC-19,7,0,7
SF-86,119,126,-7
TJ-006,31,24,7
TJ-043,157,164,-7
YDWD-003,1556,1549,7
DFA-02,6,12,-6
DX-082,58,64,-6
JHA-060,201,207,-6
JHA-082,123,129,-6
JHG-060,31,25,6
SEO-017,70,64,6
SF-146,77,71,6
SF-149,73,67,6
TSPX-005,722,716,6
DX-038,1146,1151,-5
DX-094,2703,2698,5
DX-097,301,306,-5
DX-103,29,24,5
HX-045,18,23,-5
HX-048,53,58,-5
JHA-068,68,73,-5
JHA-1031,19,24,-5
JHA-119,62,67,-5
JHA-128,2652,2647,5
JHA-208,55,60,-5
JHG-015,404,399,5
JHG-018,65,70,-5
SF-167,29,24,5
SF-88,71,66,5
TJ-077,34,29,5
TSPX-028,294,299,-5
TSYH-002,52,57,-5
YC-202,148,153,-5
DX-011,90,94,-4
HX-014,28,32,-4
HX-037,44,48,-4
HX-049,22,26,-4
HX-050,99,103,-4
JHG-041,186,190,-4
JHG-051,87,91,-4
JHG-078,51,55,-4
SEO-037,12,16,-4
SF-114,1187,1191,-4
TRFB-008,709,705,4
TSYH-051,436,440,-4
WYYL-301,21,25,-4
YDWD-001,1303,1299,4
DFB-01,461,458,3
DX-021,4,7,-3
DX-051,40,37,3
DX-060,58,61,-3
DX-147,39,42,-3
JHA-1026,21,24,-3
JHA-202,62,65,-3
JHG-020,299,296,3
JHG-055,70,73,-3
JHG-087,64,61,3
JHG-101,48,51,-3
SEO-008,33,36,-3
TJ-004,28,25,3
TSPX-029,40,43,-3
BF-004,0,2,-2
DX-013,119,117,2
DX-095,52,50,2
HX-051,1254,1252,2
HX-054,18,20,-2
JHA-1023,0,2,-2
JHG-019,37,39,-2
JHG-065,76,78,-2
JHG-082,1760,1758,2
JHGXN-106,47,49,-2
JHGXN-112,2,0,2
JW-042,21,23,-2
SC-01,2,0,2
SC-10,2,0,2
SEO-010,52,50,2
SEO-020,71,73,-2
SEO-025,46,48,-2
SF-161,99,101,-2
SF-45,88,86,2
TJ-107,14,12,2
YC-187,25,23,2
111,1,0,1
DFA-04,47,48,-1
DFA-06,21,22,-1
DFWX-31,1,2,-1
DX-010,386,385,1
DX-022,10,9,1
DX-035,24,25,-1
DX-140,23,24,-1
DX-144,17,18,-1
DX-145,34,35,-1
DX-146,1942,1943,-1
DX-151,149,150,-1
HX-031,14,15,-1
HX-043,20,21,-1
HX-044,10,11,-1
HX-066,44,45,-1
HX-069,32,33,-1
JHA-078,341,342,-1
JHA-1006,23,24,-1
JHA-1014,24,25,-1
JHA-1038,66,67,-1
JHA-111,17,18,-1
JHA-161,19,18,1
JHA-501,78,79,-1
JHG-039,37,36,1
JHG-086,14,15,-1
JLYQ-002,192,193,-1
SC-06,54,53,1
SEO-007,38,37,1
SEO-011,16,15,1
SEO-016,25,26,-1
SEO-021,35,36,-1
SF-10,287,288,-1
SF-151,22,21,1
TJ-008,25,24,1
TJ-030,23,24,-1
TJ-094,25,24,1
TJ-103,23,24,-1
TRFB-007,1209,1208,1
TRFB-012,0,1,-1
TSYH-004,180,179,1
TSYH-006,8,9,-1
TSYH-008,5,6,-1
YC-141,340,339,1
BASE-001,9,9,0
BF-005,108,108,0
DF-05,1,1,0
DFA-01,55,55,0
DFA-05,3,3,0
DFA-07,12,12,0
DFA-08,17,17,0
DFA-11,2,2,0
DX-005,29,29,0
DX-012,12,12,0
DX-014,3,3,0
DX-016,24,24,0
