date_key,app_id,channel,download_num,landing_page_view_num,landing_page_click_num,ip_num,new_user,new_user_ios,new_user_android,pay_user_num,recharge_amount,coin_recharge_amount,install_num,ad_click_num,video_show_from_channel
2026-09-02 00:00:00,HX-009,shmdd037_1.6.151.0202309,0,0,0,0,0,0,0,0,0.000000,0.000000,1,0,0
2026-09-02 00:00:00,HX-035,tjsmdw017_1.6.151.0202309,0,0,0,0,0,0,0,0,0.000000,0.000000,1,0,0
2026-09-02 00:00:00,JHA-056,grga8,0,0,0,0,0,0,0,0,0.000000,0.000000,1,1,3
2026-09-02 00:00:00,JHA-204,jituandl4aa?chan,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,20
2026-09-02 00:00:00,JHG-047,df32,0,0,0,0,0,0,0,0,0.000000,0.000000,1,1,0
2026-09-02 00:00:00,SF-02,AJUBBKOW,0,0,0,0,0,0,0,0,0.000000,0.000000,0,2,0
2026-09-02 00:00:00,SF-117,7HQ4G7EB,0,0,0,0,0,0,0,0,0.000000,0.000000,0,1,0
2026-09-02 00:00:00,SF-50,9O9RJWXL,0,0,0,0,0,0,0,0,0.000000,0.000000,0,2,0
2026-09-02 00:00:00,DX-091,tk0865,0,0,0,0,0,0,0,0,0.000000,0.000000,3,5,65
2026-09-02 00:00:00,HX-016,kbyg011_1.6.151.0202309,0,0,0,0,0,0,0,0,0.000000,0.000000,0,3,1
2026-09-02 00:00:00,JHG-049,mar,0,0,0,0,0,0,0,0,0.000000,0.000000,0,1,0
2026-09-02 00:00:00,JHG-059,mar,0,0,0,0,0,0,0,0,0.000000,0.000000,0,5,73
2026-09-02 00:00:00,SF-55,646S3Q04,0,0,0,0,0,0,0,0,0.000000,0.000000,0,3,18
2026-09-02 00:00:00,SF-66,5X4Y9KC1,0,0,0,0,0,0,0,0,0.000000,0.000000,0,3,0
2026-09-02 00:00:00,HX-001,phlw001_1.6.151.0202309,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,3
2026-09-02 00:00:00,HX-001,phnpl001_1.6.151.0202309,0,0,0,0,0,0,0,0,0.000000,0.000000,9,3,85
2026-09-02 00:00:00,HX-027,sxbsm011_1.6.151.0202309,0,0,0,0,0,0,0,0,0.000000,0.000000,1,0,4
2026-09-02 00:00:00,HX-040,xydu003,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,6
2026-09-02 00:00:00,JHA-063,lx999.,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,42
2026-09-02 00:00:00,JHA-063,saozhu4,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,3
2026-09-02 00:00:00,JHG-024,wy001,0,0,0,0,0,0,0,0,0.000000,0.000000,0,4,0
2026-09-02 00:00:00,JHG-027,mdnt09,0,0,0,0,0,0,0,0,0.000000,0.000000,0,2,0
2026-09-02 00:00:00,JHG-027,wy001,0,0,0,0,0,0,0,0,0.000000,0.000000,0,14,0
2026-09-02 00:00:00,SF-52,SSQ9EM10NQ,0,0,0,0,0,0,0,0,0.000000,0.000000,0,1,19
2026-09-02 00:00:00,SF-55,TFCYWI9T,0,0,0,0,0,0,0,0,0.000000,0.000000,0,2,0
2026-09-02 00:00:00,SF-81,BQ5AL1HE,0,0,0,0,0,0,0,0,0.000000,0.000000,0,5,0
2026-09-02 00:00:00,HX-011,ofplus001_1.6.151.0202309,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,15
2026-09-02 00:00:00,HX-021,FBIJIX005_1.6.151.0202309,0,0,0,0,0,0,0,0,0.000000,0.000000,1,0,0
2026-09-02 00:00:00,HX-039,xyylu002_1.6.151.0202309,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,1
2026-09-02 00:00:00,JHA-027,LYF261,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,13
