app_id,shadow_cnt,live_cnt,diff
JHA-065,12,12,0
JHA-066,132,132,0
JHA-067,227,227,0
JHA-068,5,5,0
JHA-069,619,619,0
JHA-071,49,49,0
JHA-076,51,51,0
JHA-077,29,29,0
JHA-078,24,24,0
JHA-082,1,1,0
JHA-089,47,47,0
JHA-096,21,21,0
JHA-1017,9,9,0
JHA-1040,5,5,0
JHA-107,1,1,0
JHA-110,227,227,0
JHA-111,1,1,0
JHA-116,4,4,0
JHA-117,260,260,0
JHA-119,28,28,0
JHA-123,254,254,0
JHA-124,429,429,0
JHA-126,395,395,0
JHA-127,2,2,0
JHA-128,358,358,0
JHA-130,3,3,0
JHA-155,4,4,0
JHA-156,8,8,0
JHA-157,255,255,0
JHA-158,6,6,0
JHA-159,13,13,0
JHA-160,327,327,0
JHA-161,7,7,0
JHA-163,2,2,0
JHA-202,2,2,0
JHA-203,8,8,0
JHA-204,905,905,0
JHA-205,211,211,0
JHA-206,8,8,0
JHA-207,47,47,0
JHA-208,2,2,0
JHA-209,1,1,0
JHA-210,200,200,0
JHA-2164,1,1,0
JHA-501,5,5,0
JHA-502,151,151,0
JHA-505,76,76,0
JHG-002,11,11,0
JHG-007,59,59,0
JHG-009,1,1,0
JHG-010,17,17,0
JHG-012,13,13,0
JHG-017,118,118,0
JHG-018,17,17,0
JHG-019,4,4,0
JHG-020,48,48,0
JHG-027,29,29,0
JHG-039,3,3,0
JHG-040,6,6,0
JHG-041,50,50,0
JHG-045,148,148,0
JHG-050,277,277,0
JHG-051,23,23,0
JHG-055,30,30,0
JHG-057,5,5,0
JHG-060,3,3,0
JHG-061,63,63,0
JHG-064,207,207,0
JHG-065,4,4,0
JHG-068,1,1,0
JHG-069,17,17,0
JHG-070,135,135,0
JHG-072,2,2,0
JHG-078,7,7,0
JHG-080,87,87,0
JHG-086,1,1,0
JHG-087,7,7,0
JHG-090,11,11,0
JHG-091,52,52,0
JHG-092,85,85,0
JHG-101,3,3,0
JHGXN-096,11,11,0
JHGXN-106,2,2,0
JHGXN-107,1,1,0
JLYQ-002,40,40,0
JW-032,1,1,0
JW-042,1,1,0
SEO-002,14,14,0
SEO-003,12,12,0
SEO-004,7,7,0
SEO-005,4,4,0
SEO-006,7,7,0
SEO-007,6,6,0
SEO-008,4,4,0
SEO-009,1,1,0
SEO-010,4,4,0
SEO-011,2,2,0
SEO-012,4,4,0
SEO-013,4,4,0
SEO-014,1,1,0
SEO-015,1,1,0
SEO-016,3,3,0
SEO-017,6,6,0
SEO-018,1,1,0
SEO-019,1,1,0
SEO-020,4,4,0
SEO-021,3,3,0
SEO-025,2,2,0
SEO-026,4,4,0
SEO-027,3,3,0
SEO-029,3,3,0
SEO-031,1,1,0
SEO-032,1,1,0
SEO-034,1,1,0
SEO-036,1,1,0
SEO-037,1,1,0
SEO-039,1,1,0
SF-01,404,404,0
SF-02,379,379,0
SF-05,327,327,0
SF-06,60,60,0
SF-07,216,216,0
SF-08,207,207,0
SF-10,40,40,0
SF-104,319,319,0
SF-105,63,63,0
SF-106,371,371,0
SF-107,62,62,0
SF-109,24,24,0
SF-110,31,31,0
SF-112,73,73,0
SF-113,21,21,0
SF-114,103,103,0
SF-115,7,7,0
SF-116,13,13,0
SF-117,168,168,0
SF-12,1,1,0
SF-120,38,38,0
SF-121,1,1,0
SF-123,3,3,0
SF-124,158,158,0
SF-125,1,1,0
SF-126,190,190,0
SF-127,10,10,0
SF-128,147,147,0
SF-129,59,59,0
SF-131,199,199,0
SF-132,32,32,0
SF-133,154,154,0
SF-134,156,156,0
SF-137,160,160,0
SF-138,33,33,0
SF-139,13,13,0
SF-14,56,56,0
SF-142,20,20,0
SF-143,259,259,0
SF-145,8,8,0
SF-146,7,7,0
SF-147,2,2,0
SF-148,2,2,0
SF-149,4,4,0
SF-15,228,228,0
SF-151,1,1,0
SF-152,81,81,0
SF-153,16,16,0
SF-157,24,24,0
SF-158,68,68,0
SF-159,29,29,0
SF-160,48,48,0
SF-161,14,14,0
SF-162,131,131,0
SF-163,2,2,0
SF-164,20,20,0
SF-165,10,10,0
SF-166,1,1,0
SF-167,1,1,0
SF-168,1,1,0
SF-169,1,1,0
SF-171,4,4,0
SF-172,1,1,0
SF-179,3,3,0
SF-18,5,5,0
SF-189,3,3,0
SF-20,259,259,0
SF-22,1,1,0
SF-23,1,1,0
SF-25,10,10,0
SF-26,1,1,0
SF-27,299,299,0
SF-28,5,5,0
SF-29,1,1,0
SF-34,9,9,0
SF-36,319,319,0
SF-37,111,111,0
SF-39,344,344,0
SF-41,1,1,0
SF-42,568,568,0
SF-43,390,390,0
SF-45,89,89,0
SF-46,36,36,0
SF-48,39,39,0
SF-50,490,490,0
SF-51,180,180,0
SF-52,168,168,0
SF-53,282,282,0
SF-54,357,357,0
SF-55,263,263,0
SF-57,502,502,0
SF-58,332,332,0
SF-59,308,308,0
SF-60,345,345,0
SF-61,324,324,0
SF-62,380,380,0
SF-63,372,372,0
SF-65,383,383,0
SF-66,486,486,0
SF-67,353,353,0
SF-68,257,257,0
SF-69,391,391,0
SF-71,470,470,0
SF-72,375,375,0
SF-73,15,15,0
SF-74,280,280,0
SF-75,285,285,0
SF-76,148,148,0
SF-77,15,15,0
SF-78,131,131,0
SF-79,226,226,0
SF-80,120,120,0
SF-81,378,378,0
SF-82,16,16,0
SF-83,37,37,0
SF-84,53,53,0
SF-85,35,35,0
SF-86,61,61,0
SF-87,4,4,0
SF-88,27,27,0
SF-89,181,181,0
SF-90,163,163,0
SF-91,165,165,0
SF-92,122,122,0
SF-93,159,159,0
SF-94,192,192,0
SF-95,279,279,0
SF-96,250,250,0
SF-97,275,275,0
SF-98,261,261,0
SF-99,3,3,0
TJ-002,7,7,0
TJ-003,1,1,0
TJ-004,1,1,0
TJ-005,1,1,0
TJ-007,1,1,0
TJ-008,1,1,0
TJ-011,1,1,0
TJ-012,1,1,0
TJ-014,1,1,0
TJ-015,1,1,0
TJ-017,1,1,0
TJ-019,1,1,0
TJ-027,1,1,0
TJ-028,1,1,0
TJ-036,1,1,0
TJ-037,1,1,0
TJ-038,1,1,0
TJ-039,1,1,0
TJ-041,1,1,0
TJ-042,3,3,0
TJ-043,3,3,0
TJ-044,1,1,0
TJ-045,1,1,0
TJ-046,1,1,0
TJ-047,1,1,0
TJ-048,1,1,0
TJ-051,1,1,0
TJ-075,1,1,0
TJ-076,1,1,0
TJ-077,1,1,0
TJ-092,1,1,0
TJ-093,1,1,0
TJ-104,1,1,0
TJ-107,1,1,0
TJ-111,1,1,0
TRFB-007,103,103,0
TRFB-008,24,24,0
TRFB-010,13,13,0
TSPX-005,43,43,0
TSPX-014,52,52,0
TSPX-027,16,16,0
TSPX-028,10,10,0
TSPX-029,2,2,0
TSPX-030,1,1,0
TSPX-031,9,9,0
TSPX-033,1,1,0
TSYH-001,227,227,0
TSYH-002,2,2,0
TSYH-003,1,1,0
TSYH-004,12,12,0
TSYH-005,1,1,0
TSYH-006,1,1,0
TSYH-007,3,3,0
TSYH-050,168,168,0
TSYH-051,25,25,0
WX-002,1,1,0
WYYL-001,18,18,0
WYYL-002,9,9,0
WYYL-101,1,1,0
WYYL-301,1,1,0
YC-103,1,1,0
YC-104,1,1,0
YC-106,16,16,0
YC-109,174,174,0
YC-110,1,1,0
YC-117,1,1,0
YC-120,9,9,0
YC-129,3,3,0
YC-139,2,2,0
YC-140,6,6,0
YC-145,5,5,0
YC-146,4,4,0
YC-151,1,1,0
YC-162,23,23,0
YC-163,3,3,0
YC-165,1,1,0
YC-175,1,1,0
YC-179,1,1,0
YC-180,1,1,0
YC-187,11,11,0
YC-195,19,19,0
YC-198,1,1,0
YCXN-001,15,15,0
YDWD-001,337,337,0
YDWD-003,376,376,0
