date_key,app_id,channel,download_num,landing_page_view_num,landing_page_click_num,ip_num,new_user,new_user_ios,new_user_android,pay_user_num,recharge_amount,coin_recharge_amount,install_num,ad_click_num,video_show_from_channel
2026-09-02 00:00:00,HX-001,18247966381,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,2
2026-09-02 00:00:00,HX-001,19243573244,0,0,0,0,0,0,0,0,0.000000,0.000000,0,1,1
2026-09-02 00:00:00,HX-001,3294283732,0,0,0,0,0,0,0,0,0.000000,0.000000,0,1,11
2026-09-02 00:00:00,HX-001,485965832,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,18
2026-09-02 00:00:00,HX-001,phtya001_1.6.151.020,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,8
2026-09-02 00:00:00,HX-003,967415,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,6
2026-09-02 00:00:00,HX-021,794976,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,7
2026-09-02 00:00:00,HX-023,TSDBSN005_1.6.151.02,0,0,0,0,0,0,0,0,0.000000,0.000000,3,0,0
2026-09-02 00:00:00,JHA-069,zj531,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,5
2026-09-02 00:00:00,JHA-204,FJHKXY,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,33
2026-09-02 00:00:00,SF-53,2Z4KK2O8,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 00:00:00,SF-89,G67T2095JM,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 00:00:00,YC-002,zjdy5084,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 00:00:00,DX-030,ug-bilu666,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 00:00:00,HX-001,1208261389,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,5
2026-09-02 00:00:00,HX-001,328284171,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,1
2026-09-02 00:00:00,HX-001,3864f2292dea95b4,0,0,0,0,0,0,0,0,0.000000,0.000000,1,0,2
2026-09-02 00:00:00,HX-001,hg001,0,0,0,0,0,0,0,0,0.000000,0.000000,0,2,34
2026-09-02 00:00:00,HX-001,phpyy032,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,4
2026-09-02 00:00:00,HX-001,zhao666zz,0,0,0,0,0,0,0,0,0.000000,0.000000,0,2,31
2026-09-02 00:00:00,HX-035,tjsqbs001_1.6.151.02,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,4
2026-09-02 00:00:00,JHA-103,M65Y687C,0,0,0,0,0,0,0,0,0.000000,0.000000,0,1,0
2026-09-02 00:00:00,JHA-204,JDK3CV,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,5
2026-09-02 00:00:00,JHA-204,JLYKXQDE,0,0,0,0,0,0,0,0,0.000000,0.000000,0,2,0
2026-09-02 00:00:00,SF-131,GA2UEPYVD3,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 00:00:00,YC-003,JLYKXQDE,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,5
2026-09-02 00:00:00,YC-123,oxald1mh,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 00:00:00,YC-169,1djkqoxb,0,0,0,0,0,0,0,0,0.000000,0.000000,3,1,0
2026-09-02 00:00:00,YC-121,sxmh7456,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0
2026-09-02 00:00:00,DX-085,ug-mdxtxly04,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,7
